Date,Date.Regular.Freq,ffr_shock,fw_shock,lsap_shock,lsap_shock2,exchange.rate.open,exchange.rate.close,log.diff.exchange.rate,bmv.ipc.volume,bmv.ipc.open,bmv.ipc.close,log.diff.bmv.ipc,naftrac_open,naftrac_close,log.diff.naftrac,dcetes28,dcetes91,dcetes182,dcetes364
2000-08-22,2009-09-01,-0.0425,0.6783,0.3355,-0.3355,9.233,9.247,0.0015151518050107171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-10-03,2009-10-01,0.0256,1.2013,0.3226,-0.3226,9.392,9.4,8.514261902177189e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-11-15,2009-11-01,0.1507,0.1349,0.4781,-0.4781,9.476,9.463,-0.0013728287704433129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-12-19,2009-12-01,0.8049,-0.2578,-0.5124,0.5124,9.363,9.382,0.002027207949514054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-03,2010-01-01,-4.0334,2.6939,-0.0444,0.0444,9.837,9.68,-0.01608888524213503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-01-31,2010-02-01,0.8316,-0.7344,-0.7924,0.7924,9.6925,9.684,-8.773514871349697e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-03-20,2010-03-01,-0.2878,-1.0225,-1.0006,1.0006,9.535,9.5075,-0.0028882782321044687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-04-18,2010-04-01,-5.7674,-0.1372,-0.9075,0.9075,9.168,9.24,0.007822725681208897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001-05-15,2010-05-01,-1.0852,-1.4497,-0.76,0.76,9.167,9.169,2.181500881253129e-4,93496600,6041.89013671875,5987,-0.00912644759192105,NA,NA,NA,NA,NA,NA,NA
2001-06-27,2010-06-01,1.2762,0.1831,0.1713,-0.1713,9.041,9.064,0.0025407359704754384,103990400,6582.60986328125,6587.68017578125,7.699622005983286e-4,NA,NA,NA,NA,NA,NA,NA
2001-08-21,2010-07-01,0.2449,-0.7854,-0.5634,0.5634,9.116,9.1385,0.0024651468289218492,74821400,6245.7099609375,6276.08984375,0.00485232840237515,NA,NA,NA,NA,NA,NA,NA
2001-10-02,2010-08-01,-0.3513,-0.2621,-0.433,0.433,9.51,9.517,7.357965329073402e-4,67593000,5389.39013671875,5361.7998046875,-0.005132528166447159,NA,NA,NA,NA,NA,NA,NA
2001-11-06,2010-09-01,-1.6435,-0.8846,-1.3002,1.3002,9.21,9.219,9.76721549241777e-4,74761400,5681.02001953125,5677.7900390625,-5.687181208493541e-4,NA,NA,NA,NA,NA,NA,NA
2001-12-11,2010-10-01,0.0916,-1.5986,-0.2351,0.2351,9.2,9.1525,-0.005176418042740494,95167400,6136.02978515625,6150.259765625,0.002316401021280612,NA,NA,NA,NA,NA,NA,NA
2002-01-30,2010-11-01,0.3761,0.1204,0.3955,-0.3955,9.195,9.174,-0.0022864618813041027,113321000,6789.490234375,6750.7998046875,-0.005714875364947858,NA,NA,NA,NA,NA,NA,NA
2002-03-19,2010-12-01,-0.1633,-1.162,0.0507,-0.0507,9.0765,9.074,-2.7547450657650074e-4,128914000,7345.89990234375,7427.919921875,0.011103541695169028,NA,NA,NA,NA,NA,NA,NA
2002-05-07,2011-01-01,0.2803,-0.8223,-0.4716,0.4716,9.505,9.489,-0.0016847429487709675,93702400,7543.64990234375,7431.89013671875,-0.014925917886632334,NA,NA,NA,NA,NA,NA,NA
2002-06-26,2011-02-01,0.1549,0.2172,-0.0111,0.0111,10.025,10.004,-0.002096960177260687,136714200,6353.52978515625,6171.6298828125,-0.029047564580411134,NA,NA,NA,NA,NA,NA,NA
2002-08-13,2011-03-01,0.8185,-2.9402,-1.355,1.355,9.982,9.952,-0.0030099350505938816,57470200,5901.47998046875,5841.89990234375,-0.01014709392580393,NA,NA,NA,NA,NA,NA,NA
